"date","party","res","mandates"
"2024-12-18","LVZS",0.0987006572807458,9
"2024-12-18","LSDP",0.194296234242362,17
"2024-12-18","LRLS",0.109922988226966,9
"2024-12-18","DP",0.0253449130554813,0
"2024-12-18","LP",0.0341286291316489,0
"2024-12-18","LLRA.KSS",0.0279124791043225,0
"2024-12-18","VL",0.0910634651555379,8
"2024-12-18","NA.",0.125613026074503,11
"2024-12-18","NS",0.0202427047911691,0
"2024-12-25","TS.LKD",0.186581002964749,16
"2024-12-25","LVZS",0.0991138750472999,9
"2024-12-25","LSDP",0.194389103111753,17
"2024-12-25","LRLS",0.110499202329793,9
"2024-12-25","DP",0.0251960742009548,0
"2024-12-25","LP",0.0339718372467571,0
"2024-12-25","LLRA.KSS",0.0280340558069158,0
"2024-12-25","VL",0.0922378810628392,8
"2024-12-25","NA.",0.122649308709065,11
"2024-12-25","NS",0.0203276595198726,0
"2025-01-01","TS.LKD",0.187657972919309,16
"2025-01-01","LVZS",0.0995630958673849,9
"2025-01-01","LSDP",0.194405318909445,17
"2025-01-01","LRLS",0.111024797842142,10
"2025-01-01","DP",0.0251641397018745,0
"2025-01-01","LP",0.0340055189751974,0
"2025-01-01","LLRA.KSS",0.0282364247277696,0
"2025-01-01","VL",0.0933975887281744,8
"2025-01-01","NA.",0.119140938080583,10
"2025-01-01","NS",0.0204042042481202,0
"2025-01-08","TS.LKD",0.188695113557544,16
"2025-01-08","LVZS",0.100083199707315,9
"2025-01-08","LSDP",0.195004034504678,17
"2025-01-08","LRLS",0.111606771674083,10
"2025-01-08","DP",0.0250817501260003,0
"2025-01-08","LP",0.0340344008505253,0
"2025-01-08","LLRA.KSS",0.028450441645932,0
"2025-01-08","VL",0.0948507155149932,8
"2025-01-08","NA.",0.114731140462397,10
"2025-01-08","NS",0.020462431956532,0
"2025-01-15","TS.LKD",0.189761600605208,16
"2025-01-15","LVZS",0.10037694237083,9
"2025-01-15","LSDP",0.195129637929378,17
"2025-01-15","LRLS",0.11215981225984,10
"2025-01-15","DP",0.0251150418254412,0
"2025-01-15","LP",0.0340174951743058,0
"2025-01-15","LLRA.KSS",0.0287560935643617,0
"2025-01-15","VL",0.0962038481188217,8
"2025-01-15","NA.",0.110955101307226,10
"2025-01-15","NS",0.0205244268445867,0
"2025-01-22","TS.LKD",0.191134929051979,17
"2025-01-22","LVZS",0.100563234071383,9
"2025-01-22","LSDP",0.195358928310028,17
"2025-01-22","LRLS",0.112820425966323,10
"2025-01-22","DP",0.0250725484727175,0
"2025-01-22","LP",0.0340746409487409,0
"2025-01-22","LLRA.KSS",0.0291482737108417,0
"2025-01-22","VL",0.0977487700791275,8
"2025-01-22","NA.",0.106523247903797,9
"2025-01-22","NS",0.0205550014850623,0
"2025-01-29","TS.LKD",0.192341029365295,17
"2025-01-29","LVZS",0.100730496966649,9
"2025-01-29","LSDP",0.195203120867874,17
"2025-01-29","LRLS",0.113324279919988,10
"2025-01-29","DP",0.0250179294194144,0
"2025-01-29","LP",0.0340859592953287,0
"2025-01-29","LLRA.KSS",0.0295285274961647,0
"2025-01-29","VL",0.0987894169145085,8
"2025-01-29","NA.",0.103381397582071,9
"2025-01-29","NS",0.0205978421727074,0
"2025-02-05","TS.LKD",0.193367311936092,17
"2025-02-05","LVZS",0.100937826511722,9
"2025-02-05","LSDP",0.194677540319566,17
"2025-02-05","LRLS",0.113793937585555,10
"2025-02-05","DP",0.025006470108883,0
"2025-02-05","LP",0.0340982134529822,0
"2025-02-05","LLRA.KSS",0.0298036243586824,0
"2025-02-05","VL",0.0993653154358206,8
"2025-02-05","NA.",0.101355759547878,9
"2025-02-05","NS",0.0205940007428189,0
"2025-02-12","TS.LKD",0.194165752723107,17
"2025-02-12","LVZS",0.1010997001841,9
"2025-02-12","LSDP",0.194207201502793,17
"2025-02-12","LRLS",0.114145577501928,10
"2025-02-12","DP",0.0249567254106845,0
"2025-02-12","LP",0.0340203020706303,0
"2025-02-12","LLRA.KSS",0.030147444215637,0
"2025-02-12","VL",0.0997309489057508,8
"2025-02-12","NA.",0.0999626904119016,9
"2025-02-12","NS",0.0205636570734671,0
"2025-02-19","TS.LKD",0.194839105885905,17
"2025-02-19","LVZS",0.101365450800196,9
"2025-02-19","LSDP",0.193551062404605,17
"2025-02-19","LRLS",0.1142985902157,10
"2025-02-19","DP",0.02490197607735,0
"2025-02-19","LP",0.0340163300780293,0
"2025-02-19","LLRA.KSS",0.0303731675093102,0
"2025-02-19","VL",0.0996172543296399,9
"2025-02-19","NA.",0.0995188776318747,8
"2025-02-19","NS",0.02051818506739,0
"2025-02-26","TS.LKD",0.195908619732674,17
"2025-02-26","LVZS",0.101660697308833,9
"2025-02-26","LSDP",0.193052420608326,17
"2025-02-26","LRLS",0.114596587776303,10
"2025-02-26","DP",0.0247293468579024,0
"2025-02-26","LP",0.0340478590433239,0
"2025-02-26","LLRA.KSS",0.0307600931846534,0
"2025-02-26","VL",0.099491675881752,9
"2025-02-26","NA.",0.0982155902066354,8
"2025-02-26","NS",0.0205371093995963,0
"2025-03-05","TS.LKD",0.196957140786288,17
"2025-03-05","LVZS",0.101883319258873,9
"2025-03-05","LSDP",0.192740554808692,17
"2025-03-05","LRLS",0.115058509405369,10
"2025-03-05","DP",0.0246926113261556,0
"2025-03-05","LP",0.0340957926759283,0
"2025-03-05","LLRA.KSS",0.0312100133231937,0
"2025-03-05","VL",0.0996716928328895,9
"2025-03-05","NA.",0.0960815998593594,8
"2025-03-05","NS",0.0206087657232514,0
"2025-03-12","TS.LKD",0.198410338927655,17
"2025-03-12","LVZS",0.102434370935119,9
"2025-03-12","LSDP",0.192732285164557,17
"2025-03-12","LRLS",0.115671167843828,10
"2025-03-12","DP",0.0247499754720066,0
"2025-03-12","LP",0.0342816950113591,0
"2025-03-12","LLRA.KSS",0.0316129323196364,0
"2025-03-12","VL",0.0997705334140353,9
"2025-03-12","NA.",0.0926371691893915,8
"2025-03-12","NS",0.0206995317224121,0
"2025-03-19","TS.LKD",0.199830994579437,17
"2025-03-19","LVZS",0.103034251144682,9
"2025-03-19","LSDP",0.192630353109822,17
"2025-03-19","LRLS",0.11613923133245,10
"2025-03-19","DP",0.0247426265492617,0
"2025-03-19","LP",0.0343367507417945,0
"2025-03-19","LLRA.KSS",0.0321771276223638,0
"2025-03-19","VL",0.100146921638135,9
"2025-03-19","NA.",0.0892444617830388,8
"2025-03-19","NS",0.0207172814990158,0
"2025-03-26","TS.LKD",0.201209068531918,18
"2025-03-26","LVZS",0.1035231082883,9
"2025-03-26","LSDP",0.192752960400118,17
"2025-03-26","LRLS",0.116785564188967,10
"2025-03-26","DP",0.0248045368407625,0
"2025-03-26","LP",0.034457589373883,0
"2025-03-26","LLRA.KSS",0.0327542622789812,0
"2025-03-26","VL",0.100518099320325,9
"2025-03-26","NA.",0.0854670573768751,7
"2025-03-26","NS",0.0207277533998698,0
"2025-04-02","TS.LKD",0.202670448608797,18
"2025-04-02","LVZS",0.103921165417189,9
"2025-04-02","LSDP",0.192576477728819,17
"2025-04-02","LRLS",0.117372077693531,10
"2025-04-02","DP",0.0247382001083173,0
"2025-04-02","LP",0.0346529543586494,0
"2025-04-02","LLRA.KSS",0.0333531019170388,0
"2025-04-02","VL",0.100415552137304,9
"2025-04-02","NA.",0.0825050885496939,7
"2025-04-02","NS",0.0207949334806608,0
"2025-04-09","TS.LKD",0.203764946683845,18
"2025-04-09","LVZS",0.104158067346352,9
"2025-04-09","LSDP",0.19196085853883,17
"2025-04-09","LRLS",0.117750024084132,10
"2025-04-09","DP",0.0246368721921935,0
"2025-04-09","LP",0.0347249796466866,0
"2025-04-09","LLRA.KSS",0.033826580439312,0
"2025-04-09","VL",0.100337786288549,9
"2025-04-09","NA.",0.0810028345445523,7
"2025-04-09","NS",0.0208370502355475,0
"2025-04-16","TS.LKD",0.204886658969468,18
"2025-04-16","LVZS",0.104300060945131,9
"2025-04-16","LSDP",0.191220815959437,17
"2025-04-16","LRLS",0.118179094727784,10
"2025-04-16","DP",0.0246036773702436,0
"2025-04-16","LP",0.0347764969237666,0
"2025-04-16","LLRA.KSS",0.0345296656887974,0
"2025-04-16","VL",0.100005205895736,9
"2025-04-16","NA.",0.0796749341467923,7
"2025-04-16","NS",0.020823389372844,0
"2025-04-23","TS.LKD",0.205873213171081,18
"2025-04-23","LVZS",0.104530436236822,9
"2025-04-23","LSDP",0.190359590656159,17
"2025-04-23","LRLS",0.118651045505838,10
"2025-04-23","DP",0.0245632916370795,0
"2025-04-23","LP",0.0348164658939227,0
"2025-04-23","LLRA.KSS",0.0349318577189457,0
"2025-04-23","VL",0.0997019353420112,9
"2025-04-23","NA.",0.0787122948369341,7
"2025-04-23","NS",0.0208598690012071,0
"2025-04-30","TS.LKD",0.207127678554488,18
"2025-04-30","LVZS",0.104838120784347,9
"2025-04-30","LSDP",0.18982186184185,17
"2025-04-30","LRLS",0.11931411736018,10
"2025-04-30","DP",0.0244778711411744,0
"2025-04-30","LP",0.034962147347994,0
